"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"1349",4,1,942600,1578,36.786916,-109.843144
"1350",4,1,942700,5628,36.778617,-109.342511
"1351",4,1,944000,6043,35.785296,-109.087145
"1352",4,1,944100,5870,36.389637,-109.283203
"1353",4,1,944201,4010,36.173395,-109.59661
"1354",4,1,944202,4053,36.171557,-109.528995
"1355",4,1,944300,6958,36.20657,-109.696612
"1356",4,1,944901,4021,35.652845,-109.468832
"1357",4,1,944902,4853,35.677519,-109.698492
"1358",4,1,945001,4497,35.671178,-109.077661
"1359",4,1,945002,3916,35.404482,-109.163278
"1360",4,1,945100,2221,35.147179,-109.323304
"1361",4,1,970200,4990,34.463268,-109.629359
"1362",4,1,970300,3523,34.413892,-109.361478
"1363",4,1,970501,5081,34.11288,-109.282891
"1364",4,1,970502,4276,34.097744,-109.472273
"1365",4,3,100,1971,32.147057,-109.490876
"1366",4,3,201,3747,32.318506,-109.89262
"1367",4,3,202,3982,32.256524,-109.836252
"1368",4,3,203,2740,31.99261,-109.858343
"1369",4,3,301,4212,31.963538,-110.297843
"1370",4,3,302,4851,31.928151,-110.263523
"1371",4,3,303,3457,32.010364,-110.352007
"1372",4,3,400,2206,31.745386,-110.052904
"1373",4,3,500,5651,31.571407,-109.600542
"1374",4,3,600,2984,31.378019,-109.575643
"1375",4,3,700,5196,31.350842,-109.52187
"1376",4,3,800,5160,31.351763,-109.536114
"1377",4,3,901,3586,31.339583,-109.549478
"1378",4,3,902,2846,31.349609,-109.549291
"1379",4,3,1000,1656,31.450329,-109.916319
"1380",4,3,1100,3599,31.390899,-109.899242
"1381",4,3,1200,3036,31.407121,-109.944545
"1382",4,3,1300,5613,31.674405,-110.332544
"1383",4,3,1401,4359,31.566119,-110.341946
"1384",4,3,1402,1251,31.54817,-110.367172
"1385",4,3,1501,3636,31.545158,-110.297329
"1386",4,3,1502,3812,31.562142,-110.298729
"1387",4,3,1601,4825,31.562554,-110.283728
"1388",4,3,1602,3441,31.550496,-110.273452
"1389",4,3,1701,4274,31.545466,-110.250004
"1390",4,3,1702,3978,31.563534,-110.242644
"1391",4,3,1703,4511,31.541,-110.236997
"1392",4,3,1800,9219,31.528143,-110.273626
"1393",4,3,1900,7083,31.492851,-110.268747
"1394",4,3,2001,4979,31.476009,-110.242467
"1395",4,3,2002,4332,31.474636,-110.179451
"1396",4,3,2100,5153,31.404206,-110.190943
"1397",4,5,100,3804,35.225313,-111.664349
"1398",4,5,200,3788,35.213429,-111.642219
"1399",4,5,300,7175,35.212555,-111.619158
"1400",4,5,400,5373,35.218156,-111.60528
"1401",4,5,500,4396,35.231008,-111.578376
"1402",4,5,600,5461,35.200903,-111.579602
"1403",4,5,700,3647,35.203852,-111.597436
