"","STATEFP","COUNTYFP","COUNAME","STNAME","POPULATION","LATITUDE","LONGITUDE"
"97",4,1,"Apache","Arizona",71518,35.577687,-109.41484
"98",4,3,"Cochise","Arizona",131346,31.607357,-110.063053
"99",4,5,"Coconino","Arizona",134421,35.514426,-111.590056
"100",4,7,"Gila","Arizona",53597,33.82356,-111.007494
"101",4,9,"Graham","Arizona",37220,32.86733,-109.812181
"102",4,11,"Greenlee","Arizona",8437,32.970402,-109.248712
"103",4,12,"La Paz","Arizona",20489,33.908361,-114.172146
"104",4,13,"Maricopa","Arizona",3817117,33.493403,-112.04143
"105",4,15,"Mohave","Arizona",200186,35.069679,-114.249634
"106",4,17,"Navajo","Arizona",107449,34.893625,-110.211155
"107",4,19,"Pima","Arizona",980263,32.216707,-110.96001
"108",4,21,"Pinal","Arizona",375770,33.060133,-111.588364
"109",4,23,"Santa Cruz","Arizona",47420,31.434733,-110.943195
"110",4,25,"Yavapai","Arizona",211033,34.629014,-112.267767
"111",4,27,"Yuma","Arizona",195751,32.65004,-114.598663
"187",6,1,"Alameda","California",1510271,37.705201,-122.100393
"188",6,3,"Alpine","California",1175,38.728298,-119.847603
"189",6,5,"Amador","California",38091,38.394208,-120.775729
"190",6,7,"Butte","California",220000,39.669037,-121.707635
"191",6,9,"Calaveras","California",45578,38.163627,-120.633718
"192",6,11,"Colusa","California",21419,39.156148,-122.085557
"193",6,13,"Contra Costa","California",1049025,37.935588,-122.030131
"194",6,15,"Del Norte","California",28610,41.791232,-124.163088
"195",6,17,"El Dorado","California",181058,38.746543,-120.74433
"196",6,19,"Fresno","California",930450,36.738918,-119.767884
"197",6,21,"Glenn","California",28122,39.663418,-122.177491
"198",6,23,"Humboldt","California",134623,40.752982,-124.087189
"199",6,25,"Imperial","California",174528,32.841101,-115.534487
"200",6,27,"Inyo","California",18546,37.160247,-118.267513
"201",6,29,"Kern","California",839631,35.372968,-118.936004
"202",6,31,"Kings","California",152982,36.242749,-119.729084
"203",6,33,"Lake","California",64665,38.973362,-122.734609
"204",6,35,"Lassen","California",34895,40.392397,-120.579176
"205",6,37,"Los Angeles","California",9818605,34.065193,-118.244222
"206",6,39,"Madera","California",150865,37.043099,-120.00675
"207",6,41,"Marin","California",252409,37.986705,-122.547075
"208",6,43,"Mariposa","California",18251,37.542748,-119.957219
"209",6,45,"Mendocino","California",87841,39.285329,-123.397227
"210",6,47,"Merced","California",255793,37.281016,-120.623989
"211",6,49,"Modoc","California",9686,41.522584,-120.650911
"212",6,51,"Mono","California",14202,37.763322,-118.970594
"213",6,53,"Monterey","California",415057,36.611722,-121.646162
"214",6,55,"Napa","California",136484,38.329075,-122.321646
