VariableNumber,VariableName,VariableCode,AtmosLevelName,AtmosLevelCode,Units,file_type,time frame,24-hr summary
226,Planetary Boundary Layer Height,HPBL,surface,surface,m,grib2,anl,max
186,Temperature,TMP,2 m above ground,2 m above ground,K,grib2,anl,max
186,Temperature,TMP,2 m above ground,2 m above ground,K,grib2,anl,mean
188,Relative Humidity,RH,2 m above ground,2 m above ground,%,grib2,anl,mean
185,Water Equivalent of Accumulated Snow Depth,WEASD,surface,surface,kg/m^2,grib2,anl,sum
189.1,U-Component of Wind,UGRD,10 m above ground,10 m above ground,m/s,grib2,anl,mean
189.2,V-Component of Wind,VGRD,10 m above ground,10 m above ground,m/s,grib2,anl,mean
248,Pressure Reduced to MSL,PRMSL,mean sea level,mean sea level,Pa,grib2,anl,mean
174,Pressure,PRES,surface,surface,Pa,grib2,anl,mean
135,Vertical Velocity (Geometric),VVEL,850 mb,850 mb,m/s,grib2,anl,mean
114,Vertical Velocity (Geometric),VVEL,700 mb,700 mb,m/s,grib2,anl,mean
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
